#	Frame	FaceNum	FEV		X	Y	ROC	Time
	1983	0	738.958416	314	196	0.414029	73.335588803
	1984	0	741.588750	314	196	0.412285	73.374862559
	1985	0	741.007260	314	196	0.413238	73.406536300
	1986	0	740.429075	314	196	0.413379	73.434023338
	1987	0	739.516163	314	196	0.413572	73.472483522
	1988	0	744.663950	314	196	0.410550	73.497369758
	1989	0	743.556596	314	196	0.411852	73.528143236
	1990	0	741.994126	314	196	0.412772	73.571049533
	1991	0	740.573980	314	196	0.412826	73.599807302
	1992	0	741.826620	314	196	0.412490	73.642302899
	1993	0	741.912127	314	196	0.412882	73.672542756
	1994	0	738.618369	314	196	0.417159	73.713339006
	1995	0	736.128247	314	196	0.418121	73.744893304
	1996	0	737.096701	314	196	0.417063	73.768922669
	1997	0	737.072416	314	196	0.417120	73.804322925
	1998	0	738.016012	314	196	0.416791	73.848518942
	1999	0	738.709816	314	196	0.416486	73.879136651
	2000	0	739.795290	314	196	0.416313	73.905619755
	2001	0	738.774540	314	196	0.416944	73.946172550
	2002	0	736.631986	314	196	0.417811	73.975761103
	2003	0	735.945943	314	196	0.418751	74.016898283
	2004	0	736.226875	314	196	0.418681	74.047144800
	2005	0	740.585555	314	196	0.415069	74.072515898
	2006	0	739.742434	314	196	0.415607	74.113699582
	2007	0	736.145391	314	196	0.417880	74.148919754
	2008	0	738.159699	314	196	0.416136	74.185271768
	2009	0	735.025072	314	196	0.418277	74.220480526
	2010	0	735.896604	314	196	0.417101	74.256017016
	2011	0	737.395252	314	196	0.416638	74.286339914
	2012	0	736.893884	314	196	0.416134	74.319215347
	2013	0	737.391486	314	196	0.415238	74.347678206
	2014	0	740.159004	314	196	0.414479	74.388769317
	2015	0	739.204528	314	196	0.414948	74.422893639
	2016	0	740.380596	314	196	0.414460	74.462600580
	2017	0	738.261665	314	196	0.416503	74.489432537
	2018	0	739.038014	314	196	0.416027	74.516091282
	2019	0	738.015478	314	196	0.415787	74.549627808
	2020	0	738.143998	314	196	0.415727	74.590782666
	2021	0	738.087272	314	196	0.416075	74.619440532
	2022	0	737.598794	314	196	0.415844	74.665183720
	2023	0	737.011842	314	196	0.416841	74.699779876
	2024	0	735.020184	314	196	0.418135	74.726842985
	2025	0	735.898932	314	196	0.417333	74.764466035
	2026	0	735.854469	314	196	0.417380	74.802261338
	2027	0	734.736792	314	196	0.417942	74.828606255
	2028	0	734.448618	314	196	0.418160	74.875766623
	2029	0	735.225812	314	196	0.417739	74.898600057
	2030	0	736.001874	314	196	0.417033	74.932007796
	2031	0	735.804408	314	196	0.417101	74.964288062
	2032	0	735.812567	314	196	0.416584	74.998877676
	2033	0	737.236589	314	196	0.415288	75.033207113
	2034	0	737.201220	314	196	0.415586	75.064585879
	2035	0	736.717441	314	196	0.414956	75.093906738
	2036	0	735.525827	314	196	0.415650	75.131614166
	2037	0	737.305773	314	196	0.415064	75.162691838
	2038	0	735.117302	314	196	0.417003	75.191899721
	2039	0	734.535926	314	196	0.417666	75.235301295
	2040	0	734.992726	314	196	0.416986	75.270496629
	2041	0	734.762736	314	196	0.417842	75.310739947
	2042	0	735.812598	314	196	0.416056	75.336533604
	2043	0	734.852085	314	196	0.416786	75.374447584
	2044	0	735.332019	314	196	0.415840	75.411263012
	2045	0	734.992540	314	196	0.416039	75.437046387
	2046	0	736.179132	314	196	0.415718	75.463656775
	2047	0	735.140450	314	196	0.415882	75.510377504
	2048	0	736.079902	314	196	0.415685	75.543582284
	2049	0	737.011549	314	196	0.414172	75.577801312
	2050	0	738.530940	314	196	0.412163	75.611233691
	2051	0	738.087553	314	196	0.412572	75.637551056
	2052	0	735.600149	314	196	0.414545	75.690331352
	2053	0	733.753686	314	196	0.415396	75.716423438
	2054	0	732.721283	314	196	0.415951	75.740711417
	2055	0	732.006428	314	196	0.416516	75.782745775
	2056	0	731.189390	314	196	0.417421	75.810708016
	2057	0	733.322142	314	196	0.416868	75.847687578
	2058	0	732.731091	314	196	0.417409	75.882882342
	2059	0	732.337338	314	196	0.417012	75.915192020
	2060	0	732.477870	314	196	0.416650	75.952755738
	2061	0	734.631224	314	196	0.416223	75.979482228
	2062	0	732.916580	314	196	0.417609	76.006677759
	2063	0	734.081361	314	196	0.416850	76.053119417
	2064	0	734.484229	314	196	0.416451	76.085275702
	2065	0	734.211670	314	196	0.416436	76.113538836
	2066	0	733.166571	314	196	0.416611	76.156548283
	2067	0	733.569284	314	196	0.416590	76.188948783
	2068	0	730.437156	314	196	0.416968	76.222999197
	2069	0	730.916102	314	196	0.418018	76.254811390
	2070	0	732.557296	314	196	0.416900	76.278577263
	2071	0	732.166678	314	196	0.417171	76.325597505
	2072	0	733.022184	314	196	0.416350	76.358892440
	2073	0	733.597778	314	196	0.415496	76.394554573
	2074	0	732.000791	314	196	0.415886	76.424800538
	2075	0	731.502893	314	196	0.415919	76.458723894
	2076	0	733.814307	314	196	0.415266	76.490268284
	2077	0	732.402583	314	196	0.415597	76.524070951
	2078	0	730.880539	314	196	0.416387	76.552448137
	2079	0	728.616272	314	196	0.417552	76.600533450
	2080	0	730.944049	314	196	0.416784	76.627824395
	2081	0	741.800660	314	196	0.412824	76.667913601
	2082	0	739.139737	314	196	0.414493	76.697125054
	2083	0	739.285014	314	196	0.413541	76.723423830
	2084	0	741.090280	314	196	0.413111	76.764239330
	2085	0	743.248567	314	196	0.412198	76.804362234
